"","GeneStableID","Gene","Category1","Category2","Subcategory","SequenceLength","Category","dNdS","busted_P","model_avg_P","model_avg_Padj","PosSel","model_avg_omega3","M21_P","M21_Padj","busted_PosSel","busted_Padj","busted_q02_PosSel","model_avg_PosSel","model_avg_q02_PosSel","M21_PosSel","GeneGCcontent","PPI","logPPI","logSeqL","MUSmax_fpkm_mean","MUStau_fpkm_mean","MUSmax_fpkm_median","MUStau_fpkm_median","MUSmean_fpkm_all_samples","MUSmedian_fpkm_all_samples","MUSasinTauFPKMmean","MUSlogitTauFPKMmean","MUSlogFPKMmean","MUSlogFPKMmedian","BV_FPKMmean","BV_FPKMmedian","BV_TauFPKMmean","BV_TauFPKMmedian","BVlogFPKMmean","BVlogFPKMmedian","BVasinTauFPKMmean","BVasinTauFPKMmedian","MusBVfpkm_mean","MusBVtau","logMusBVfpkm_mean","asinMusBVtau","X","pNpS1align_BV006","pNpS1align_Mus","pNpS1align_avg","sqrt_pNpS1align_Mus","sqrt_pNpS1align_BV006","sqrt_pNpS1align_avg","ZlogMusBVfpkm_mean","ZasinMusBVtau","ZlogMusfpkm_mean","ZasinMusTau","ZlogPPI","ZlogSeqL","ZpNpS1align_Mus","ZpNpS1align_avg","sqrt_dNdS"
"1","ENSMUSG00000000127","Fer","intracellSignaling","Kinase","Kinase",2466,"Immune",0.0706086631159832,0.497068550601303,0.491988004493367,0.5,0,0.00479698111342423,1,1,0,0.5,0,0,0,0,40.27,13,1.14612803567824,3.39199307225971,"11.0350410826227",0.731798603043805,"6.52615207423047",0.675622179843873,3.9642831152316,2.54335302523993,1.02642353727251,0.945496928482447,0.695856541536737,0.54941442336787,8.80342510497477,5.83207665120434,0.837515998124658,0.817159658669226,0.991377835315893,0.834552730193878,1.15590219796009,1.12896201840835,6.38385411010318,0.784657300584231,0.868283107329466,1.08823412201873,16,0,0.0884716959467218,0.0442358479733609,0.297441920291545,0,0.2103231988473,-0.364281899067018,-0.00639073102873604,-0.518545017140133,-0.418350384368686,-1.33296256420388,0.861821343474242,0.199467908499944,-0.275214957618917,0.265722906645218
"2","ENSMUSG00000000131","Xpo6","Control",NA,NA,3375,"Control",0.0463864160640833,0.5,0.5,0.5,0,0,0.999999000000162,1,0,0.5,0,0,0,0,43.53,56,1.75587485567249,3.52827377716704,"204.349570874339",0.744948397683429,"256.73215018087",0.779492838575887,71.1014705158931,51.6990826750216,1.04138384602273,1.00836971060133,1.85794412228427,1.72180305557984,18.2743178803442,15.0731498532276,0.428585056743476,0.442119809921019,1.28497901727841,1.20610099374075,0.713738148317802,0.727387917267153,44.6878941981186,0.586766727213452,1.6598011414391,0.872606380079776,17,0.0326412868937489,0.121422560517956,0.0770319237058526,0.348457401295992,0.180668998153388,0.277546255074452,0.895419443065817,-0.946117358909314,1.40875070059685,-0.355688885367257,-0.183337589118111,1.28629820020698,0.397064322965887,0.0419863006497797,0.215375059057643
"3","ENSMUSG00000000275","Trim25","intracellSignaling","Ubiquitinase","Ubiquitinase",1908,"Immune",0.270220996583606,0.00574140514888211,0.021694889242447,0.324877176325238,0,0.00206340908035102,1.92392343734138e-06,2.0069559225319e-05,1,0.0309224592529466,1,1,0,1,48.45,152,2.1846914308176,3.28057837036808,"73.5075256782936",0.762429342053385,"79.2955181236121",0.77038437348734,25.9381150411542,15.744960690824,1.06167270485471,1.09492435423722,1.43036720327019,1.22388413236091,24.7453384919169,22.4971717680743,0.716914245009757,0.721752341763933,1.41069860617317,1.37101559165739,1.0097669781703,1.01515076209499,25.3417267665356,0.739671793531571,1.42064424065605,1.03535147294663,40,0.0984487325009462,0.423042100497962,0.260745416499454,0.650416866707777,0.313765409981639,0.510632369224136,0.514801117375198,-0.236858448396859,0.699624143638975,-0.270708666799221,0.625159033336113,0.514795236697535,1.56663298143292,1.14183526383004,0.519827852835538
"4","ENSMUSG00000000278","Scpep1","Control",NA,NA,1356,"Control",0.207395159998681,0.499851062391058,0.459471688435936,0.5,0,0.00429831527548318,1,1,0,0.5,0,0,0,0,47.22,10,1.04139268515823,3.13225968953104,"38.5080310814791",0.651861065532881,"34.9382037484961",0.652465172806317,18.1576599474363,12.1124828612195,0.939696620586361,0.593937203723457,1.28234246017151,1.11768493355375,72.4327792484153,66.1866106982583,0.763012779037661,0.770476143970292,1.86588996548698,1.82728273318424,1.06235843235636,1.07118264041495,45.2952195979258,0.707436922285271,1.66553614848174,0.999300237300189,42,0,0.0956031086979665,0.0478015543489832,0.309197523757818,0,0.218635665775242,0.904546709606097,-0.393973232423822,0.454128487184505,-0.781607499850538,-1.53043202330381,0.0528234008513714,0.245000461542352,-0.235991436451561,0.455406587566189
"5","ENSMUSG00000000381","Wap",NA,NA,NA,327,"Immune",0.859722318209458,6.22947804451712e-11,0.0869824242790129,0.5,0,0.0295350333537889,0,0,1,2.28644916374684e-09,1,0,0,1,52.44,47,1.68124123737559,2.51454775266029,"0.177706096269184",0.882172777372344,"0.117332034825247",0.848467597636656,0.0317072535118207,0,1.22041104901225,1.84097635677585,0.0135564838993229,0,0.00873925051296355,0,1,0,0.00377891975711326,0,1.5707963267949,0,0.0202232520123921,0.941086388686172,0.00869521735788071,1.32562630827814,59,0,0,0,0,0,0,-1.73231645041668,1.02818745762525,-1.65012408319502,0.394169495809855,-0.324052831513222,-1.87117913133016,-0.952603106107385,-1.26765396681878,0.927212121474616
"6","ENSMUSG00000000409","Lck","intracellSignaling","Kinase","Kinase",1560,"Immune",0.0440387082844576,0.282197831931841,0.173568075049317,0.5,0,0.00145203990308895,1,1,0,0.5,0,0,0,0,48.13,395,2.59769518592551,3.19312459835446,"79.9933515737894",0.971374269925132,"79.9933515737894",0.96904031307209,8.75777079670557,1.38650010595671,1.40078714275271,2.89917332773969,0.989350612618728,0.377761457984229,28.7866861614817,11.7090409680361,0.879852468258664,0.892862352477768,1.4740221896254,1.10411277966461,1.21682778234614,1.23733157640559,18.7722284790936,0.925613369091898,1.29605562033195,1.2945573755825,66,0,0.145659432387313,0.0728297161936563,0.381653550209235,0,0.26986981341687,0.316518266608198,0.8927860334329,-0.0317918018500693,1.14967772805987,1.40384194910882,0.24240082635894,0.525641763973696,0.00576395240391691,0.209854016603108
"7","ENSMUSG00000000441","Raf1","intracellSignaling","Kinase","Kinase",1944,"Immune",0.0256648996965722,0.263806981789335,0.413014534203024,0.5,0,0.000850740317828672,1,1,0,0.5,0,0,0,0,42.75,209,2.32221929473392,3.28869626059026,"93.3030843800623",0.57204672164868,"93.3030843800623",0.538739552148363,48.1064167621381,46.6255353516593,0.857696560417528,0.27550709327728,1.69113824532676,1.6778398705517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,0,NA,0,NA,NA,NA,NA,1.13210696248309,-1.12506609914636,0.884455944683496,0.540080228634987,-0.952603106107385,NA,0.160202683175321
"8","ENSMUSG00000000605","Clcn4","Control",NA,NA,2241,"Control",0.00655671237885617,0.5,0.5,0.5,0,0,0.994358970695199,1,0,0.5,0,0,0,0,47.23,16,1.23044892137827,3.35044185653506,"35.1352857336368",0.495462186255609,"35.1352857336368",0.522012514134149,19.2974534814105,16.9542777887144,0.780860287356387,-0.0172441195247702,1.30744155474355,1.25416794030674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,NA,0,NA,0,NA,NA,NA,NA,0.495754762423283,-1.44689609129948,-1.17398281565344,0.732400751936965,-0.952603106107385,NA,0.0809735288773817
"9","ENSMUSG00000000706","Btn1a1","otherCellSurfaceProt","otherCellSurfaceProt",NA,1569,"Immune",0.345357255950962,0.00109190097984463,0.0164946519034199,0.295842849632434,0,0.000534110024047487,1,1,1,0.00754058446708034,1,1,0,0,45.26,22,1.36172783601759,3.19562294358694,"0.194174944783493",0.842377743123853,"0.194174944783493",0.839954304779584,0.0444406864984562,0.0113894918568329,1.16253222919936,1.55239140002686,0.0188837815515143,0.00491843708345466,0.918861465443574,0.322136817190365,0.708023629075905,0.845485440752635,0.283043621444595,0.121276399080262,0.999945245693351,1.16681379418557,0.481651075971015,0.775200686099879,0.170745940740419,1.07682061562969,96,0.178376524152555,0.314550042052146,0.24646328310235,0.560847610365014,0.422346450384699,0.496450685468708,-1.47441264413359,-0.0561318996502782,-1.64128888168158,0.151743108062082,-0.926467758546732,0.250182483579127,1.21970762561459,1.07491703392407,0.587671043995671
"10","ENSMUSG00000000711","Rab5b","intracellSignaling","otherIntracellSignaling",NA,645,"Immune",0.0166734285945872,0.5,0.5,0.5,0,0,0.999358206037935,1,0,0.5,0,0,0,0,44.42,75,1.88081359228079,2.80955971463527,"72.1469778917083",0.541916822440352,"73.168726523381",0.553116420704521,39.6680110922953,37.4981302351718,0.827364240903548,0.15962198369473,1.60925293333986,1.58543963734574,65.5806156872348,64.5844451090568,0.424099422339724,0.41695046123581,1.82334780686649,1.81680084845583,0.709203017191564,0.701961930027357,52.624313389765,0.483008122390038,1.72936174448518,0.76840301344572,98,0,0,0,0,0,0,1.0061251771623,-1.40024574452561,0.99630204230969,-1.25211351779721,0.0522236098101875,-0.952298131977765,-0.952603106107385,-1.26765396681878,0.129125631052039
